KPIs,Lead,Goal,Status,Start Date ,End Date,Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Academics/Enrollment/Retention ,,,,,,,,,,,,,,,,,,,,,,,,,
Maintain department grade point average over 3.37,Danny,GPA above 3.37,,N/A,N/A,"Fall, 2025 Department GPA: 
Spring, 2026 Department GPA: 
Overall 2025-2026 Department GPA: ",,,,,,,,,,,,,,,,,,,
"Meet or exceed overall combined single year, all-sport APR average of 985",Danny,APR above 985,,N/A,N/A,2025 APR submitted to NCAA: ,,,,,,,,,,,,,,,,,,,
Maintain Graduation Success Rate above 90%,Danny,GSR above 90%,,N/A,N/A,2025 GSR submitted to NCAA: 91%,,,,,,,,,,,,,,,,,,,
FY26: [4] teams earning NCAA recognition,Danny,"4 teams or more 1,000 multi-year",,N/A,N/A,"Teams 1,000 Multi-Year Rate: 
1. 
2. 
3. 
4. ",,,,,,,,,,,,,,,,,,,
"Annually qualify for NCAA academic unit - continue to meet or exceed the academic standards in the GSR, FGR and/or APR to qualify to receive the annual academic based revenue distribution",Danny,Qualify for NCAA Academic Unit,,N/A,N/A,"Qualify with GSR above 90%
Qualify with APR above 985",,,,,,,,,,,,,,,,,,,
Undergraduate Enrollment Target ,Erica; Cabinet ,TBD,,6/1/2025,5/31/2026,"Student-Athletes:
 - Overall # of student-athletes 
 - # of transfer student-athletes
 - # of graduate student-athletes (???)
- Scholarship $ 
- Tuition Revenue 
- % regional athletes 
- % international athletes
- # athletes per team

Cheerleaders/Dance Team:
 - # of cheerleaders/dance team members",,,,,,,,,,,,,,,,,,,
Undergraduate Retention Target (Center for Student Success),Danny; Cabinet ,TBD,,6/1/2025,5/31/2026,"Student-Athletes: 
 - # of student-athlete registered by date

Cheerleaders/Dance Team: 



",,,,,,,,,,,,,,,,,,,
Undergraduate Placement Rate (Collaborative Learning Institute),Danny; Cabinet ,TBD,,6/1/2025,5/31/2026,"Student-Athletes:
 - # of internships
 - Career fair attendance 
 - Career readiness score 

",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Student-Athlete Development ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
75% participation rate in student-athlete mandatory programming (list out mandatory programs),Danny,75% participation each event,,N/A,End of Spring Semester,"Student-Athlete Orientation=290/321, 90.3%",,,,,,,,,,,,,,,,,,,
90% career outcomes rate for undergraduate seniors ,Danny,90% career outcomes rate,,N/A,End of Spring Semester,,,,,,,,,,,,,,,,,,,,
75% satisfaction rate for student-athlete programming based on surveys (list out programming events),Danny,75% satisfaction rate,,N/A,End of Spring Semester,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Competitive Excellence ,,,,,,,,,,,,,,,,,,,,,,,,,
"Capitalize on high-profile sports (basketball, football, hockey) and win at least one conference championship in RMU’s high-profile sport programs annually to elevate RMU’s profile",CK ,Conference Championship ,,"Football: September
Hockey: October
Basketball: November","Football: November
Hockey: March
Basketball: March ","Football: 
Men's Basketball: 
Women's Basketball:
Men's Hockey: 
Women's Hockey:  ",,,,,,,,,,,,,,,,,,,
"Win at least three department Conference Championships, with qualification to the NCAA Tournament and/or the FCS playoff",CK ,Three Conference Championships,,August ,End of May,"Fall Sports: 
Winter Sports: 
Spring Sports: ",,,,,,,,,,,,,,,,,,,
Increase in overall NET in top 3 of Horizon League (use NCAA NET rankings),CK ,Increase average NET metric,,November ,End of December ,"MBB: NET Overall 2024-25: 139 - finished #2 in Horizon League 
MBB: NET Overall 2025-26: 

WBB: NET Overall 2024-25: 
254 - finished #5 in Horizon League
WBB: NET Overall 2025-26: ",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Colonial Culture ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Department Cultue Survey / track post survey  - launch at least three (3) NEW initiatives,Cabinet; CK ,Launch three (3) NEW initiatives,COMPLETED,8/1/2025,5/31/2025,"1. Communication Tool: ""The Colonial Huddle"" digital newsleter - five times annually 
2. Communication Tool: Athletics Cabinet Weekly Update on Strategic Initiatives and Core Priorities
3. Communication Tool: Two NEW Department Town Halls: October and February 
4.  Add additional NEW initiatives (Cabinet)",,,,,,,,,,,,,,,,,,,
"100% completion rate of dedicated media training for targeted sports (football, basketball, hockey).",Marty/Ryan G. ,100% completion rate ,,8/1/2025,5/31/2026,"Set dates for media training for football, men's basketball, women's basketball, men's hockey and women's hockey ",,,,,,,,,,,,,,,,,,,
100% of staff trained in QPR Suicide Prevention,Kim ,100% completion rate ,,8/1/2025,5/31/2026,Suicide prevention is now part of the AID training,,,,,,,,,,,,,,,,,,,
100% of staff trained in AID (Awareness; Interaction; Direction) /Mental Health/Suicide Prevention,Kim ,100% completion rate ,,8/1/2025,5/31/2026,14 Staff members have not taken this course as of 9/8/25,,,,,,,,,,,,,,,,,,,
100% of staff trained in CPR/AED/Stop the Bleeding,Kim ,100% completion rate ,,8/1/2025,5/31/2026,50 Staff members have not taken this course as of 9/9/25 There are still more opportunities this semester,,,,,,,,,,,,,,,,,,,
100% of staff trained in Active Shooter response. ,Kim ,100% completion rate ,COMPLETED,8/1/2025,5/31/2026,51 Staff members have not taken this course as of 9/9/25 There are still more opportunities this semester,,,,,,,,,,,,,,,,,,,
100% of student-athlete participation in CCAPS Screening. ,Mike Vittorino/Kim ,100% participation rate,,August/September/January (mid-year enrollees),August/September/January (mid-year enrollees),"Softball to complete 9/9                                                                                                        M/WXC, Volleyball and Golf still have to complete  All other teams have completed                                                                            ",,,,,,,,,,,,,,,,,,,
100% of department staff completion of Title IX/Sexual Violence training ,Erin ,100% completion rate,COMPLETED,6/1/2025,5/31/2026,All staff members have completed as of 9/18,,,,,,,,,,,,,,,,,,,
Zero major NCAA rules violations. ,CK; Erica,Zero major NCAA rules violations,,6/1/2025,5/31/2026,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Fundraising ,,,,,,,,,,,,,,,,,,,,,,,,,
Varsity Club student-athlete alumni donors,TJ,200,13,6/1/2025,5/31/2026,"As of 9.4.25  - FY26 Goal 200
Q1 Target 8.31.25:  50
Q2 Target 11.30.25: 100
Q3 Target 2.28.26: 150
Q4 Target 5.31.26: 200",,,,,,,,,,,,,,,,,,,
1921 Club donors,TJ,235,33,6/1/2025,5/31/2026,"As of 9.4.25 - FY26 Goal 235
Q1 Target 8.31.25:  60
Q2 Target 11.30.25: 120
Q3 Target 2.28.26: 180
Q4 Target 5.31.26: 235",,,,,,,,,,,,,,,,,,,
Total Athletic Donors (unique donors),TJ,"1,200",110,6/1/2025,5/31/2026,"As of 9.4.25 - FY26 Goal 1200
Q1 Target 8.31.25:  300
Q2 Target 11.30.25: 600
Q3 Target 2.28.26: 900
Q4 Target 5.31.26: 1200",,,,,,,,,,,,,,,,,,,
Total Cash Revenue of Annual Athletic Gifts (non-hockey),TJ," $600,000 "," $209,774 ",6/1/2025,5/31/2026,"As of 9.4.25  - FY26 Goal $600,000 
Q1 Target 8.31.25:  $150,000
Q2 Target 11.30.25: $300,000
Q3 Target 2.28.26: $450,000
Q4 Target 5.31.26: $600,000",,,,,,,,,,,,,,,,,,,
RMU PRESIDENT GOAL FOR CK: Hockey Excellence Fund ,CK; TJ," $800,000 "," $36,382 ",6/1/2025,5/31/2026,"As of 9.4.25 - FY26 Goal $800,000 
Q1 Target 8.31.25:  $200,000
Q2 Target 11.30.25: $400,000
Q3 Target 2.28.26: $600,000
Q4 Target 5.31.26: $800,000",,,,,,,,,,,,,,,,,,,
Secure fundraising dollars for the Olsen $1M Matching Gift Campaign,TJ," $1,000,000 "," $250,000 ",6/1/2025,5/31/2026,,,,,,,,,,,,,,,,,,,,
Endowment Revenue,TJ," $25,000 "," $5,450 ",6/1/2025,5/31/2026,As of 9.4.25,,,,,,,,,,,,,,,,,,,
Increase GOALS for Day of Giving,TJ,"1,300 Donations
$175,000",,9/24/2025,9/24/2025,,,,,,,,,,,,,,,,,,,,
Close 3 six-figure gifts or higher,TJ,3,2,6/1/2025,5/31/2026,"As of 9.4.25 - FY26 Goal $600,000 
Q1 Target 8.31.25:  $150,000, current $100,000
Q2 Target 11.30.25: $300,000
Q3 Target 2.28.26: $450,000
Q4 Target 5.31.26: $600,000",,,,,,,,,,,,,,,,,,,
Launch at least three (3) NEW initiatives or revenue generating opportunities,TJ,3 NEW Initiatives,COMPLETED,6/1/2025,5/31/2026,"1. Relaunch ""Leave Your Mark"" campaign 
2. Acknowledge all donors/donations above $10,000 via social media with a graphic.
3. Top Golf NIL Basketball Fundraiser 
4.  Add additional NEW initiatives",,,,,,,,,,,,,,,,,,,
Launch at least three (3) new alumni engagement initiatives or revenue generating streams and opportunities,Revenue Generation Team ,3 NEW Initiatives,,6/1/2025,5/31/2026,"1. 
2. 
3. ",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Corporate Sponsorships/Sales ,,,,,,,,,,,,,,,,,,,,,,,,,
"Increase gross cash sponsorship revenue to a minimum of $450,000",TJ; Steve ," $500,000 "," $62,871 ",6/1/2025,5/31/2026,"9.4.25 - FY26 Goal: $500,000 / Budget $450,000
Projected Agreement Amounts = $363,713
Q1 Target 8.31.25:  $125,000
Q2 Target 11.30.25: $250,000
Q3 Target 2.28.26: $375,000
Q4 Target 5.31.26: $500,000",,,,,,,,,,,,,,,,,,,
Renew 90% of 2024-2025 corporate partners,TJ; Steve ,90% Renewal (27 of 30),50% (15 of 30),6/1/2025,5/31/2026,"FY26 Goal: 27 of 30 / 9.4.25: 15 of 30
Q4 Target (2024) 5.31.25: 10 of 30
Q1 Target 8.31.25: 20 of 30
Q2 Target 11.30.25: 27 of 30 or higher",,,,,,,,,,,,,,,,,,,
Secure 4 partners at $25k+,TJ; Steve ,4 at $25k+ ,"1 ($30,000)",6/1/2025,5/31/2026,"FY26 Goal 4 / As of 9.4.25: $30,000 (1)
Q1 Target 8.31.25:  1 / $25,000
Q2 Target 11.30.25: 2 / $50,000
Q3 Target 2.28.26: 3 / $75,000
Q4 Target 5.31.26: 4 / $100,000",,,,,,,,,,,,,,,,,,,
Launch at least three (3) NEW initiatives or revenue generating opportunities,TJ; Steve ,3 NEW Initiatives,TBA,6/1/2025,5/31/2026,"1. 
2. 
3. ",,,,,,,,,,,,,,,,,,,
